,Unnamed: 0,Image,Shade,Name,Color
0,0.0,New York Face Studio Master Chrome Metallic Highlighter - Molten Gold-Molten Rose Gold.jpg,Molten Rose Gold,New York Face Studio Master Chrome Metallic Highlighter  Molten Gold,"[[210.0, 139.0, 143.0]]"
1,1.0,New York Face Studio Master Chrome Metallic Highlighter - Molten Gold-Molten Gold.jpg,Molten Gold,New York Face Studio Master Chrome Metallic Highlighter  Molten Gold,"[[219.0, 159.0, 97.0]]"
2,2.0,MegaGlo Contouring Sustainable Palette - Dulce De Leche E7491 12.5 g-Dulce De Leche.jpg,Dulce De Leche,MegaGlo Contouring Sustainable Palette  Dulce De Leche E7491 12.5 g,"[[181.0, 133.0, 111.0]]"
3,3.0,Face Sheer Blusher- Desert Rose 4g-Desert Rose.jpg,Desert Rose,Face Sheer Blusher Desert Rose 4g,"[[202.96599999999995, 126.53450000000002, 131.7848333333334]]"
4,4.0,Face Sheer Blusher- Desert Rose 4g-Sun Kissed.jpg,Sun Kissed,Face Sheer Blusher Desert Rose 4g,"[[237.0, 181.0, 156.0]]"
5,5.0,New York Fit Me Blush- 16 Rosy Nude-Nude Peach.jpg,Nude Peach,New York Fit Me Blush 16 Rosy Nude,"[[229.0, 154.0, 114.0]]"
6,6.0,New York Fit Me Blush- 16 Rosy Nude-Rosy Nude.jpg,Rosy Nude,New York Fit Me Blush 16 Rosy Nude,"[[217.0, 147.0, 139.0]]"
7,7.0,Contour De Force Face Palette - 02 Vivid Victory-01 Subtle Summit.jpg,01 Subtle Summit,Contour De Force Face Palette  02 Vivid Victory,"[[77.9221666666668, 54.88633333333347, 47.08249999999974]]"
8,8.0,Contour De Force Face Palette - 02 Vivid Victory-02 Vivid Victory.jpg,02 Vivid Victory,Contour De Force Face Palette  02 Vivid Victory,"[[108.87633333333319, 65.71466666666662, 56.159833333333374]]"
9,9.0,Contour De Force Face Palette - 02 Vivid Victory-03 Fierce Feat.jpg,03 Fierce Feat,Contour De Force Face Palette  02 Vivid Victory,"[[146.62650000000036, 92.19416666666675, 77.39366666666658]]"
10,10.0,MegaGlo Highlighting Powder - Precious Petals-Blossom Glow.jpg,Blossom Glow,MegaGlo Highlighting Powder  Precious Petals,"[[207.22866666666667, 181.10116666666667, 175.40116666666668]]"
11,11.0,MegaGlo Highlighting Powder - Precious Petals-Precious Petals.jpg,Precious Petals,MegaGlo Highlighting Powder  Precious Petals,"[[236.04500000000002, 188.517, 156.488]]"
12,12.0,Face Studio Master Chrome Metallic Highlighter - Molten Rose Gold 050 6.5g-Molten Rose Gold.jpg,Molten Rose Gold,Face Studio Master Chrome Metallic Highlighter  Molten Rose Gold 050 6.5g,"[[210.0, 139.0, 143.0]]"
13,13.0,Face Studio Master Chrome Metallic Highlighter - Molten Rose Gold 050 6.5g-Molten Gold.jpg,Molten Gold,Face Studio Master Chrome Metallic Highlighter  Molten Rose Gold 050 6.5g,"[[219.0, 159.0, 97.0]]"
14,14.0,Blusher Reloaded - Rose Kiss 7.5g-Rose Kiss.jpg,Rose Kiss,Blusher Reloaded  Rose Kiss 7.5g,"[[235.4016666666667, 134.52716666666663, 150.04866666666672]]"
15,15.0,Blusher Reloaded - Rose Kiss 7.5g-Pop My Cherry.jpg,Pop My Cherry,Blusher Reloaded  Rose Kiss 7.5g,"[[236.1806666666666, 67.40716666666664, 72.01333333333335]]"
16,16.0,Blusher Reloaded - Rose Kiss 7.5g-Ballerina Pink.jpg,Ballerina Pink,Blusher Reloaded  Rose Kiss 7.5g,"[[226.47483333333338, 150.41800000000003, 157.7278333333334]]"
17,17.0,Blusher Reloaded - Rose Kiss 7.5g-Peach Bliss.jpg,Peach Bliss,Blusher Reloaded  Rose Kiss 7.5g,"[[240.68883333333335, 184.6746666666668, 169.63350000000008]]"
18,18.0,Ultime Pro Face Palette - 01 Fresh 12 g-GLow.jpg,GLow,Ultime Pro Face Palette  01 Fresh 12 g,"[[245.54, 150.11, 116.64000000000001]]"
19,19.0,Ultime Pro Face Palette - 01 Fresh 12 g-Fresh.jpg,Fresh,Ultime Pro Face Palette  01 Fresh 12 g,"[[249.72, 188.69, 157.65]]"
20,20.0,Contour De Force Face Pallete- 01 Subtle Summit 12 gms-01 Subtle Summit.jpg,01 Subtle Summit,Contour De Force Face Pallete 01 Subtle Summit 12 gms,"[[77.9221666666668, 54.88633333333347, 47.08249999999974]]"
21,21.0,Contour De Force Face Pallete- 01 Subtle Summit 12 gms-02 Vivid Victory.jpg,02 Vivid Victory,Contour De Force Face Pallete 01 Subtle Summit 12 gms,"[[108.87633333333319, 65.71466666666662, 56.159833333333374]]"
22,22.0,Contour De Force Face Pallete- 01 Subtle Summit 12 gms-03 Fierce Feat.jpg,03 Fierce Feat,Contour De Force Face Pallete 01 Subtle Summit 12 gms,"[[146.62650000000036, 92.19416666666675, 77.39366666666658]]"
24,24.0,Round Blusher - 03-9.jpg,9,Round Blusher  03,"[[232.39633333333333, 146.41933333333336, 126.78266666666666]]"
25,25.0,Sustainable Color Icon Blush - Mellow Wine-Nudist Society.jpg,Nudist Society,Sustainable Color Icon Blush  Mellow Wine,"[[234.70250000000001, 162.44466666666665, 127.18066666666668]]"
26,26.0,Sustainable Color Icon Blush - Mellow Wine-Mellow Wine.jpg,Mellow Wine,Sustainable Color Icon Blush  Mellow Wine,"[[209.84849999999997, 125.03100000000003, 102.81583333333333]]"
27,27.0,Sustainable Color Icon Blush - Mellow Wine-Pinch Me.jpg,Pinch Me,Sustainable Color Icon Blush  Mellow Wine,"[[227.543, 143.82183333333333, 137.42950000000002]]"
28,28.0,Face Sheer Blusher - Sun Kissed 4g-Desert Rose.jpg,Desert Rose,Face Sheer Blusher  Sun Kissed 4g,"[[202.96599999999995, 126.53450000000002, 131.7848333333334]]"
29,29.0,Face Sheer Blusher - Sun Kissed 4g-Sun Kissed.jpg,Sun Kissed,Face Sheer Blusher  Sun Kissed 4g,"[[237.0, 181.0, 156.0]]"
30,30.0,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe)-04 Royal Rose.jpg,04 Royal Rose,Contour De Force Mini Highlighter  04 Royal Rose (Rosey Taupe),"[[197.57316666666668, 163.25, 153.22616666666667]]"
31,31.0,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe)-03 Metal Medal.jpg,03 Metal Medal,Contour De Force Mini Highlighter  04 Royal Rose (Rosey Taupe),"[[192.0, 136.0, 119.0]]"
32,32.0,Contour De Force Mini Highlighter - 04 Royal Rose (Rosey Taupe)-Golden bronze.jpg,Golden bronze,Contour De Force Mini Highlighter  04 Royal Rose (Rosey Taupe),"[[207.0, 170.0, 141.0]]"
33,33.0,New York Fit Me Blush - Nude Peach-Nude Peach.jpg,Nude Peach,New York Fit Me Blush  Nude Peach,"[[229.0, 154.0, 114.0]]"
34,34.0,New York Fit Me Blush - Nude Peach-Rosy Nude.jpg,Rosy Nude,New York Fit Me Blush  Nude Peach,"[[217.0, 147.0, 139.0]]"
35,35.0,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose-02 Royal Rose.jpg,02 Royal Rose,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose02 Royal Rose.jpg,"[[222.28433333333334, 187.81316666666663, 175.92183333333327]]"
36,36.0,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose-03 Bronze Bellwether.jpg,03 Bronze Bellwether,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose03 Bronze Bellwether.jpg,"[[226.0, 162.0, 124.0]]"
37,37.0,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose-01 Champagne Champion.jpg,01 Champagne Champion,Cosmetics Face Fwd Highlighter Stick 02 Royal Rose01 Champagne Champion.jpg,"[[196.0, 142.0, 106.0]]"
38,38.0,Matte Bronzer Caramel - Medium Deep Bronzer-Hoola.jpg,Hoola,Matte Bronzer Caramel  Medium Deep Bronzer,"[[196.31566666666666, 138.76166666666663, 113.30216666666668]]"
